Filename,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,NPofB10,NPofB15,NPofB20,NPofB25,NPofB30,NPofB35,NPofB40,NPofB45,NPofB50,NPofB55,NPofB60,NPofB65,NPofB70,NPofB75,NPofB80,NPofB85,NPofB90,NPofB95,NPofB100,NAverage_Pofb
Keymind-A_5_2_kStar.csv,0.166666667,0.25,0.25,0.25,0.25,0.333333333,0.416666667,0.416666667,0.583333333,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.833333333,1,1,1,0.578947368,0.090909091,0.272727273,0.454545455,0.545454545,0.636363636,0.636363636,0.727272727,0.727272727,0.727272727,0.727272727,0.727272727,0.818181818,0.818181818,0.818181818,0.818181818,0.818181818,1,1,1,0.703349282
Keymind-A_5_2_logistic.csv,0.083333333,0.083333333,0.166666667,0.166666667,0.166666667,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.583333333,0.583333333,0.666666667,0.916666667,1,1,0.403508772,0,0.090909091,0.090909091,0.090909091,0.181818182,0.181818182,0.272727273,0.272727273,0.454545455,0.545454545,0.636363636,0.909090909,0.909090909,0.909090909,1,1,1,1,1,0.555023923
Keymind-A_5_2_naiveBayes.csv,0.090909091,0.181818182,0.272727273,0.272727273,0.363636364,0.363636364,0.454545455,0.454545455,0.636363636,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,1,1,1,1,1,0.66507177,0.090909091,0.272727273,0.454545455,0.545454545,0.636363636,0.636363636,0.727272727,0.818181818,0.818181818,0.818181818,0.818181818,0.818181818,0.818181818,0.818181818,0.909090909,0.909090909,1,1,1,0.732057416
Keymind-A_5_2_randomForest.csv,0.083333333,0.25,0.25,0.25,0.25,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0.583333333,0.75,0.75,0.833333333,1,1,1,1,0.561403509,0.090909091,0.363636364,0.363636364,0.363636364,0.454545455,0.545454545,0.545454545,0.636363636,0.636363636,0.636363636,0.636363636,0.727272727,0.818181818,0.909090909,1,1,1,1,1,0.669856459
Keymind-A_5_2_smo.csv,0.25,0.25,0.416666667,0.5,0.583333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.75,0.75,0.833333333,1,1,1,1,0.684210526,0.181818182,0.181818182,0.363636364,0.454545455,0.545454545,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.727272727,0.727272727,0.818181818,1,1,1,1,0.655502392
Keymind-A_5_3_bayesNet.csv,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,1,1,1,1,1,1,1,1,0.752631579,0.5,0.5,0.5,0.5,0.5,0.5,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,1,1,1,1,0.815789474
Keymind-A_5_3_begging.csv,0.3,0.3,0.3,0.4,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1,1,0.778947368,0.5,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,0.859649123
Keymind-A_5_3_decisionTable.csv,0.3,0.3,0.3,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,1,0.763157895,0.5,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.833333333,0.833333333,1,1,1,1,1,1,1,1,1,1,1,0.868421053
Keymind-A_5_3_ibk.csv,0.222222222,0.222222222,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,1,0.637426901,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.833333333,1,1,1,1,1,1,1,1,1,0.736842105
Keymind-A_5_3_j48.csv,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1,0.531578947,0.333333333,0.333333333,0.5,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1,0.771929825
